split,accuracy,f1,auc,n_validation,prediction_count_per_subject,gait_representation
41,0.7297297297297297,0.7619047619047619,0.8323529411764706,37,10,TUG
42,0.75,0.7567567567567568,0.8390092879256966,36,10,TUG
43,0.8333333333333334,0.8421052631578947,0.8823529411764706,36,10,TUG
44,0.75,0.7804878048780488,0.846875,36,10,TUG
45,0.6666666666666666,0.7,0.721875,36,10,TUG
46,0.7837837837837838,0.8181818181818182,0.9117647058823529,37,10,TUG
47,0.6944444444444444,0.6857142857142857,0.8359133126934984,36,10,TUG
48,0.6944444444444444,0.717948717948718,0.8452012383900929,36,10,TUG
49,0.75,0.7804878048780488,0.784375,36,10,TUG
50,0.8055555555555556,0.8444444444444444,0.778125,36,10,TUG
1,0.6756756756756757,0.6842105263157895,0.6941176470588235,37,10,Concat
2,0.75,0.7804878048780488,0.7956656346749226,36,10,Concat
3,0.8333333333333334,0.85,0.8668730650154799,36,10,Concat
4,0.6944444444444444,0.6666666666666666,0.828125,36,10,Concat
5,0.6666666666666666,0.6666666666666666,0.69375,36,10,Concat
6,0.6486486486486487,0.6829268292682927,0.6911764705882353,37,10,Concat
7,0.7222222222222222,0.7222222222222222,0.804953560371517,36,10,Concat
8,0.7777777777777778,0.8,0.8204334365325077,36,10,Concat
9,0.6666666666666666,0.6842105263157895,0.703125,36,10,Concat
10,0.7222222222222222,0.7368421052631579,0.825,36,10,Concat
11,0.7837837837837838,0.7894736842105263,0.8205882352941176,37,10,Concat
12,0.7222222222222222,0.7222222222222222,0.7987616099071206,36,10,Concat
13,0.75,0.7804878048780488,0.7708978328173375,36,10,Concat
14,0.7777777777777778,0.8181818181818182,0.7437499999999999,36,10,Concat
15,0.6111111111111112,0.631578947368421,0.6281249999999999,36,10,Concat
16,0.5945945945945946,0.5945945945945946,0.5852941176470589,37,10,Concat
17,0.7222222222222222,0.7058823529411765,0.8111455108359132,36,10,Concat
18,0.9166666666666666,0.9230769230769231,0.9164086687306501,36,10,Concat
19,0.6388888888888888,0.6666666666666666,0.7093750000000001,36,10,Concat
20,0.7222222222222222,0.7619047619047619,0.753125,36,10,Concat
21,0.6486486486486487,0.6285714285714286,0.8058823529411764,37,10,Concat
22,0.8055555555555556,0.8205128205128205,0.8421052631578947,36,10,Concat
23,0.6944444444444444,0.7317073170731707,0.8359133126934984,36,10,Concat
24,0.6388888888888888,0.6486486486486487,0.71875,36,10,Concat
25,0.6944444444444444,0.7555555555555555,0.68125,36,10,Concat
26,0.6756756756756757,0.7,0.8205882352941176,37,10,Concat
27,0.7777777777777778,0.7777777777777778,0.8513931888544892,36,10,Concat
28,0.8055555555555556,0.8205128205128205,0.8452012383900929,36,10,Concat
29,0.7777777777777778,0.7894736842105263,0.821875,36,10,Concat
30,0.6111111111111112,0.65,0.71875,36,10,Concat
31,0.8378378378378378,0.85,0.7911764705882353,37,10,Concat
32,0.6388888888888888,0.6666666666666666,0.7027863777089782,36,10,Concat
33,0.6944444444444444,0.717948717948718,0.7151702786377708,36,10,Concat
34,0.6944444444444444,0.7317073170731707,0.778125,36,10,Concat
