representation,model,split,accuracy,f1,auc,ap
All3,lr_l2,12,0.7222222222222222,0.7222222222222222,0.7987616099071206,0.7882842735952171
All3,lr_l2,13,0.75,0.7804878048780488,0.7708978328173375,0.790399327169435
All3,lr_l2,14,0.7777777777777778,0.8181818181818182,0.7437499999999999,0.7224796219332833
All3,lr_l2,15,0.6111111111111112,0.631578947368421,0.6281249999999999,0.7135556353533028
All3,lr_l2,16,0.5945945945945946,0.5945945945945946,0.5852941176470589,0.6622590161663742
All3,lr_l2,17,0.7222222222222222,0.7058823529411765,0.8111455108359132,0.7751414344531637
All3,lr_l2,18,0.9166666666666666,0.9230769230769231,0.9164086687306501,0.9363520274286934
All3,lr_l2,19,0.6388888888888888,0.6666666666666666,0.7093750000000001,0.772141898013146
All3,lr_l2,20,0.7222222222222222,0.7619047619047619,0.753125,0.7333818663435921
All3,lr_l2,21,0.6486486486486487,0.6285714285714286,0.8058823529411764,0.8132951976643927
All3,lr_l2,22,0.8055555555555556,0.8205128205128205,0.8421052631578947,0.8442752265402829
All3,lr_l2,23,0.6944444444444444,0.7317073170731707,0.8359133126934984,0.8957558484094459
All3,lr_l2,24,0.6388888888888888,0.6486486486486487,0.71875,0.7108306884333268
All3,lr_l2,25,0.6944444444444444,0.7555555555555555,0.68125,0.6887273666698387
All3,lr_l2,26,0.6756756756756757,0.7,0.8205882352941176,0.8146831576222566
All3,lr_l2,27,0.7777777777777778,0.7777777777777778,0.8513931888544892,0.8712519368723539
All3,lr_l2,28,0.8055555555555556,0.8205128205128205,0.8452012383900929,0.8454556868969447
All3,lr_l2,29,0.7777777777777778,0.7894736842105263,0.821875,0.8469290725184688
All3,lr_l2,30,0.6111111111111112,0.65,0.71875,0.7575755267368245
All3,lr_l2,31,0.8378378378378378,0.85,0.7911764705882353,0.776031962683859
All3,lr_l2,32,0.6388888888888888,0.6666666666666666,0.7027863777089782,0.7420746549909201
All3,lr_l2,33,0.6944444444444444,0.717948717948718,0.7151702786377708,0.7542765126743454
All3,lr_l2,34,0.6944444444444444,0.7317073170731707,0.778125,0.7672138869229662
All3,lr_l2,35,0.7777777777777778,0.7647058823529411,0.84375,0.8934092200902548
All3,lr_l2,36,0.6216216216216216,0.6666666666666666,0.6411764705882353,0.6273979170339465
All3,lr_l2,37,0.6111111111111112,0.6818181818181818,0.6284829721362228,0.6799781320556944
All3,lr_l2,38,0.6944444444444444,0.7027027027027027,0.8328173374613003,0.8442262200409503
All3,lr_l2,39,0.7777777777777778,0.8181818181818182,0.815625,0.8333949616878384
All3,lr_l2,40,0.75,0.7567567567567568,0.84375,0.9071175950486297
All3,lr_l2,41,0.7837837837837838,0.8,0.8323529411764706,0.8580474251057193
All3,lr_l2,42,0.6388888888888888,0.6486486486486487,0.736842105263158,0.7197013214250281
All3,lr_l2,43,0.6944444444444444,0.7027027027027027,0.7213622291021672,0.7582377417150106
All3,lr_l2,44,0.7222222222222222,0.75,0.7593749999999999,0.8233662620494671
All3,lr_l2,45,0.6666666666666666,0.6842105263157895,0.721875,0.7127326036536563
All3,lr_l2,46,0.7567567567567568,0.7567567567567568,0.7794117647058824,0.8254352969052665
