representation,model,subjects,embedding_dim,mean_accuracy,mean_f1,mean_auc,mean_ap,ci95_accuracy_lo,ci95_accuracy_hi,ci95_f1_lo,ci95_f1_hi,ci95_auc_lo,ci95_auc_hi,ci95_ap_lo,ci95_ap_hi
All3,pca64_lr_l2,181,768,0.7105705705705705,0.7260570558025518,0.7710244775541795,0.7892932402855548,0.5833333333333334,0.8497935435435435,0.5943438914027149,0.8688598979013046,0.6388273993808049,0.8668730650154799,0.6714471138898427,0.9005831593793961
All3,lr_l2,181,768,0.7127627627627627,0.7304375692423083,0.7699916795665636,0.7899245985563894,0.6111111111111112,0.8368243243243243,0.6292481203007518,0.85,0.6282055437306501,0.871671826625387,0.6662458172414712,0.9062335799727347
SelfPace+TUG,pca32_lr_l2,181,512,0.6922822822822822,0.711644656633156,0.7691389318885449,0.7948243497278851,0.5367304804804804,0.8055555555555556,0.5731203007518797,0.8205128205128205,0.605735294117647,0.8685758513931888,0.6770656102181635,0.9001123859708229
SelfPace+TUG,pca64_lr_l2,181,512,0.6917567567567567,0.7119177174937288,0.7687416795665634,0.794415140843183,0.5618055555555556,0.7993055555555555,0.5731203007518797,0.818040293040293,0.6233593749999999,0.8754643962848297,0.6830353934323755,0.8968394642351682
SelfPace+TUG,lr_l2,181,512,0.6944894894894894,0.7144400021514714,0.76859326625387,0.7955632459599836,0.5555555555555556,0.8055555555555556,0.5731203007518797,0.8205128205128205,0.6130101102941177,0.8771671826625387,0.6830353934323755,0.8957425314000893
SelfPace,lr_l1,181,256,0.684084084084084,0.7188702630254089,0.7321584752321982,0.7425120075361638,0.5582582582582583,0.8055555555555556,0.6071969696969697,0.8428165374677002,0.5799613003095975,0.8582756869195046,0.6060651513148573,0.8516161538246075
SelfPace,mi128_lr_l2,181,256,0.656981981981982,0.6919639332966896,0.7188492647058824,0.734541716701835,0.5277777777777778,0.773048048048048,0.5678246484698097,0.806595744680851,0.5664754256965945,0.8544606230650155,0.5946705442198522,0.8664831020087063
SelfPace,pca32_lr_l2,181,256,0.6503903903903904,0.6865447821377181,0.7041060371517028,0.7201668934976957,0.4847222222222222,0.75,0.5496503496503496,0.8,0.5510874613003096,0.8496168730650154,0.5894659344581775,0.8645085513614148
SelfPace,pca64_lr_l2,181,256,0.645975975975976,0.680501189646548,0.701719814241486,0.7192977408561785,0.4722222222222222,0.75,0.531025824964132,0.7888776541961577,0.5517492260061919,0.846171875,0.5816749952292689,0.8579845089184742
SelfPace,lr_l2,181,256,0.645960960960961,0.6811294614510213,0.7010944272445822,0.7199580228303308,0.4784722222222222,0.75,0.531025824964132,0.7888776541961577,0.5493498452012384,0.8448747097523219,0.5808561868446711,0.8625450733530746
HurriedPace,lr_l1,181,256,0.6005405405405405,0.5916713044820006,0.6503198529411764,0.6935481700035617,0.4506944444444444,0.7280405405405406,0.3777217741935484,0.7335526315789473,0.4840441176470588,0.7911764705882354,0.5343532421463789,0.8332803380148004
HurriedPace,mi128_lr_l2,181,256,0.5990240240240241,0.6090934906841479,0.6404438854489163,0.6872248265772134,0.4623310810810811,0.7715277777777777,0.4635746606334842,0.7832706766917292,0.4826608455882353,0.8081424148606811,0.5346582708222032,0.8511894775245876
HurriedPace,pca32_lr_l2,181,256,0.5812762762762763,0.595938815307889,0.6325274767801857,0.6802160640397565,0.4754316816816817,0.7280405405405406,0.48952702702702705,0.7470394736842105,0.503515625,0.8123606811145512,0.5526679004164149,0.8460230331179409
HurriedPace,lr_l2,181,256,0.5801951951951952,0.5947240089039226,0.6324618808049536,0.680258670328397,0.4754316816816817,0.7280405405405406,0.48952702702702705,0.7470394736842105,0.50421875,0.8092995356037151,0.5528516499028071,0.842477906933496
HurriedPace,pca64_lr_l2,181,256,0.5807507507507508,0.5950732152531288,0.6319616873065016,0.6798440455100082,0.4754316816816817,0.7280405405405406,0.48952702702702705,0.7470394736842105,0.50421875,0.8123606811145512,0.5528516499028071,0.8447336688874003
