path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_SelfPace_matTURN.csv	syn61370552	HC108_SelfPace_matTURN.csv	syn61498451	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_TUG.csv	syn61370552	HC108_TUG.csv	syn61498453	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_TandemGait.csv	syn61370552	HC108_TandemGait.csv	syn61498452	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_Balance.csv	syn61370552	HC109_Balance.csv	syn61498454	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_HurriedPace.csv	syn61370552	HC109_HurriedPace.csv	syn61498455	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_HurriedPace_mat.csv	syn61370552	HC109_HurriedPace_mat.csv	syn61498456	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_SelfPace.csv	syn61370552	HC109_SelfPace.csv	syn61498457	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_SelfPace_mat.csv	syn61370552	HC109_SelfPace_mat.csv	syn61498458	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_SelfPace_matTURN.csv	syn61370552	HC109_SelfPace_matTURN.csv	syn61498459	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_TUG.csv	syn61370552	HC109_TUG.csv	syn61498461	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC109_TandemGait.csv	syn61370552	HC109_TandemGait.csv	syn61498460	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_Balance.csv	syn61370552	HC110_Balance.csv	syn61498462	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_HurriedPace.csv	syn61370552	HC110_HurriedPace.csv	syn61498463	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_HurriedPace_mat.csv	syn61370552	HC110_HurriedPace_mat.csv	syn61498464	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_SelfPace.csv	syn61370552	HC110_SelfPace.csv	syn61498465	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_SelfPace_mat.csv	syn61370552	HC110_SelfPace_mat.csv	syn61498466	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC110_SelfPace_matTURN.csv	syn61370552	HC110_SelfPace_matTURN.csv	syn61498467	True	text/csv				
